w1,l1_leg,l1_top,l2,h1,l1_center,Tx_turns,Tx_width,Tx_height,Tx_space_x,Tx_space_y,Tx_preg,Rx_width,Rx_height,Rx_space_x,Rx_space_y,Rx_preg,g2,Tx_layer_space_x,Tx_layer_space_y,magnetizing_current,total_loss,coreloss,copperloss_Tx,copperloss_Rx1,copperloss_Rx2,magnetizing_copperloss_Tx,B_center,A,Lmt,hh,h1,coil_height,Tx1,Rx1,Txp1,Rxp1,B_left,B_top_left
78,41.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.6000000000000001,1.6,0.28,1.01,0.2,0.2,4.575461703058228,10.121104946214892,1.604144381028832,2.239851120874106,1.2805370359557482,2.2174737431049163,2.7790986652512895,0.11570589166882843,1865.5800000000004,68.51833176486191,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10578582754205995,0.29618572890076234
74,41.0,2.0,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.46,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.62012929227285,10.138565144067947,1.6003358535681222,2.24443037871752,1.2838415498282039,2.1322510145652624,2.877706347388838,0.11466430139991406,1837.2600000000002,67.8558938755018,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.11549524361427928,0.296910042371794
72,41.0,2.3000000000000003,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.49,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.5,1.6,0.29,1.01,0.2,0.2,4.590520100985989,10.141610497648532,1.6090954346936048,2.239097618613581,1.2738628189081507,2.223482790397783,2.796071835035412,0.1163831788655027,1851.5200000000004,68.29356936705867,0.0002699999999999994,0.003,0.0027300000000000007,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00029,0.10709539058773905,0.2952390992250514
87,41.0,2.3000000000000003,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.49,2.9000000000000004,0.3,11.100000000000001,0.17500000000000004,0.7000000000000001,1.6,0.29,1.01,0.2,0.2,4.583167565051923,10.142989509282788,1.602891580721035,2.2420498925223686,1.284118024013042,2.2048773934330885,2.809052618593255,0.11593579093694666,1858.5600000000004,68.40312916728631,0.00018999999999999963,0.003,0.0028100000000000004,0.00017500000000000005,0.00017500000000000005,0.0003,0.00029,0.10725705022229462,0.292014292112782
90,41.0,2.0,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.48,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.9,1.6,0.29,1.01,0.2,0.2,4.617690003569688,10.165180629526178,1.6021863172574478,2.243641683168073,1.2841162664174206,2.1660741305393865,2.8691622321438497,0.11466782534130726,1833.8000000000002,67.89173866266714,0.0002699999999999994,0.003,0.0027300000000000007,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00029,0.1155571303872587,0.2958673482719975
81,41.0,2.0,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.48,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.6000000000000001,1.6,0.28,1.01,0.2,0.2,4.637380501741628,10.183964978173485,1.6146025057764017,2.2418223614254864,1.2785406291053114,2.226688967280465,2.822310514585822,0.11472978472733968,1823.4200000000003,67.60346769686544,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.1155668099883191,0.29713470681289855
85,41.0,2.0,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.48,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.4,1.6,0.29,1.01,0.2,0.2,4.656714395307917,10.207441855035274,1.6200940469637715,2.2264578051838133,1.2728671232685507,2.2710066767896104,2.8170162028295285,0.11518248625042303,1816.5000000000002,67.3227894893979,0.0002699999999999994,0.003,0.0027300000000000007,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00029,0.11525690254360516,0.29634385415022224
58,41.0,2.0,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.28,10.9,0.17500000000000004,0.5,1.6,0.3,1.01,0.2,0.2,4.653504403199058,10.240873591151953,1.6213380513242794,2.2425053492797087,1.2845925055187093,2.266314252355773,2.826123432673482,0.11487532890371482,1813.04,67.36922881861801,0.00019000000000000006,0.003,0.00281,0.00017500000000000005,0.00017500000000000005,0.00028000000000000003,0.0003,0.11605136972768947,0.29574651901990623
43,41.0,2.4000000000000004,1.0,12.200000000000001,3.0,5.0,14.0,1.0,0.17500000000000004,0.46,2.9000000000000004,0.26,10.5,0.17500000000000004,1.0,1.6,0.29,1.01,0.2,0.2,4.555402009896906,10.290380952838149,1.539716313594768,2.2581572695065835,1.305529135024559,2.179548046359082,3.0074301883531556,0.1153628309692046,1795.5000000000002,68.82005194414415,0.0002699999999999994,0.003,0.0027300000000000007,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00029,0.10633222759571749,0.2973736842747353
65,41.0,2.4000000000000004,1.0,12.200000000000001,3.0,5.0,14.0,1.0,0.17500000000000004,0.46,2.9000000000000004,0.26,10.5,0.17500000000000004,0.5,1.6,0.29,1.01,0.2,0.2,4.5766290092030335,10.324146537014892,1.547574414638409,2.254774523772995,1.293364178459508,2.2820787846360457,2.946354635507934,0.1158547685665826,1778.4000000000003,68.50085561166267,0.0002699999999999994,0.003,0.0027300000000000007,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00029,0.10635745056736606,0.2962816846185346
